n,kryt. rezydualne iteracje,kryt. przyrostowe iteracje,kryt. rezydualne czas,kryt. przyrostowe czas,kryt. rezydualne b³¹d,kryt. przyrostowe b³¹d
5,9,8,0.0010037422180175781,0.0,6.550461690546516e-05,0.00020208360820772597
20,8,6,0.004999637603759766,0.0018677711486816406,1.1450880732066793e-05,0.00018605603345767108
35,9,8,0.020003557205200195,0.010988473892211914,6.605555484739956e-05,0.00020070646759640098
50,8,7,0.03059864044189453,0.01803302764892578,1.4582442676824847e-05,6.622457915295143e-05
65,9,8,0.055208444595336914,0.03401970863342285,6.566028431376214e-05,0.00020844069892078654
80,9,8,0.2337627410888672,0.05380964279174805,6.946909801386347e-05,0.00018946949533005242
95,9,8,0.12500905990600586,0.09102177619934082,6.870076083564935e-05,0.00018249491932009754
110,9,8,0.16903305053710938,0.11303257942199707,6.514683812253175e-05,0.00021055217250876002
125,9,8,0.21831321716308594,0.12521815299987793,7.077351470630155e-05,0.00018487759719598706
140,9,8,0.3975670337677002,0.15950298309326172,7.055708320291565e-05,0.00018822376682425812
155,9,8,0.3315753936767578,0.19312238693237305,6.821131181555806e-05,0.00018550805009776017
170,8,7,0.351029634475708,0.19952750205993652,1.809903878591257e-05,6.996708420636821e-05
185,9,8,0.46205949783325195,0.2765660285949707,6.824749104317185e-05,0.00019121613253803016
200,9,8,0.5430953502655029,0.3152346611022949,6.92576445748827e-05,0.0001894467800062083
215,9,7,0.6391916275024414,0.32064223289489746,3.7632512613905433e-06,0.00016137015527872833
230,9,7,0.7131996154785156,0.38310956954956055,6.405108247142799e-05,0.0006359576423138336
245,8,7,0.8941893577575684,0.43106698989868164,1.487406851596873e-05,7.264634732750963e-05
260,7,6,0.6867020130157471,0.40534448623657227,2.6930459594787237e-05,9.788119562870179e-05
275,9,8,1.0132215023040771,0.5893020629882812,7.064413495161403e-05,0.00018941818992068704
290,9,8,1.118079423904419,0.6503269672393799,7.221405283552862e-05,0.00018876221481978206
305,9,7,1.2230515480041504,0.6400113105773926,7.018094178457002e-05,0.000663816132446482
320,9,8,1.3548550605773926,0.8071103096008301,6.519286478690045e-05,0.0002101813749199044
335,8,7,1.3043627738952637,0.7692406177520752,2.606308928854162e-05,9.937863027253968e-05
350,9,8,1.6431682109832764,0.9731307029724121,6.698118622605609e-05,0.00020770282351956215
365,9,8,1.763474941253662,1.0361428260803223,6.663303221376982e-05,0.00020285954652621285
380,9,8,1.944063425064087,1.1246013641357422,7.122565416817217e-05,0.00019226236333103053
395,8,7,1.865748643875122,1.0825014114379883,1.595283456157226e-05,5.75543937869627e-05
410,9,8,2.2592217922210693,1.2945966720581055,6.44368270534823e-05,0.00020537824324518006
425,8,7,2.130150318145752,1.2410712242126465,1.3312544453913944e-05,4.469247260574516e-05
440,9,8,2.5544750690460205,1.515798568725586,6.960956110324545e-05,0.00019097053433891897
455,9,8,2.7114975452423096,1.6403741836547852,7.029279249914921e-05,0.0001856212305102467
470,8,7,2.5964221954345703,1.506260633468628,2.1784001425828592e-05,0.00011058443821032604
485,8,7,2.7303154468536377,1.6188280582427979,1.6735329105399543e-05,5.3329887715891644e-05
