n,kryt. rezydualne iteracje,kryt. przyrostowe iteracje,kryt. rezydualne czas,kryt. przyrostowe czas,kryt. rezydualne b³¹d,kryt. przyrostowe b³¹d
5,9,8,0.0,0.0,1.6671098717058186e-06,1.3232927360551372e-05
20,10,8,0.0059680938720703125,0.004004478454589844,1.0117910449469747e-06,1.6230939343664375e-05
35,10,9,0.02013707160949707,0.012124061584472656,1.526799612294738e-06,8.71216867692759e-06
50,11,10,0.0446627140045166,0.025089502334594727,7.512233614281882e-06,2.1485517309294266e-05
65,10,8,0.06455016136169434,0.035166025161743164,1.6339954992394823e-06,2.320774691577654e-05
80,10,9,0.09814071655273438,0.058661460876464844,1.5829192517857749e-06,7.196285624067045e-06
95,10,9,0.1404120922088623,0.0827782154083252,1.6034010719145897e-06,7.739252525507112e-06
