n,kryt. rezydualne iteracje,kryt. przyrostowe iteracje,kryt. rezydualne czas,kryt. przyrostowe czas,kryt. rezydualne b³¹d,kryt. przyrostowe b³¹d
5,15,14,0.0,0.0,9.500523734384814e-08,2.6041014011823904e-07
20,14,13,0.010007143020629883,0.00599217414855957,1.1283676659701314e-08,3.213351784658869e-08
35,16,14,0.031018972396850586,0.01800394058227539,3.115886726412498e-08,2.854028742227399e-07
50,14,13,0.054024696350097656,0.03500795364379883,1.1533559884924216e-08,2.8237665095076636e-08
65,16,14,0.10582494735717773,0.06266450881958008,3.1208965856066584e-08,2.845170812282305e-07
80,16,14,0.15709733963012695,0.0930325984954834,3.128978431909957e-08,2.880904986790611e-07
95,16,14,0.22289633750915527,0.13179278373718262,2.982726854394713e-08,2.6664940111498225e-07
110,16,14,0.2947123050689697,0.1691577434539795,3.120957492441789e-08,2.8434978727176485e-07
125,16,14,0.3889799118041992,0.23293471336364746,3.001524206958095e-08,2.668458645160854e-07
140,16,14,0.48111939430236816,0.27532529830932617,3.133615933403888e-08,2.8851296474119437e-07
155,16,14,0.5853064060211182,0.3368704319000244,3.110337365441751e-08,2.8817685149284955e-07
170,14,13,0.6205129623413086,0.3847372531890869,8.021001418612173e-09,3.1826522417510716e-08
185,16,14,0.8216769695281982,0.48467516899108887,3.117632729754405e-08,2.874797910834559e-07
200,16,14,0.9575045108795166,0.5672004222869873,3.124673297882907e-08,2.88032221407164e-07
215,13,12,0.9025256633758545,0.5539956092834473,3.627205735767802e-08,1.0537663541754227e-07
230,16,14,1.282261848449707,0.7402698993682861,3.099824907870641e-08,2.851688614136094e-07
245,14,13,1.2773160934448242,0.77774977684021,1.1351946049842354e-08,3.076111365629686e-08
260,14,13,1.41133451461792,0.838080644607544,1.1089737350644668e-08,2.9638427712086468e-08
275,16,14,1.8150010108947754,1.052095890045166,3.007120241704797e-08,2.6616168979920474e-07
290,16,14,1.948129415512085,1.1452910900115967,3.145712024199554e-08,2.8886151071105814e-07
305,16,14,2.1705493927001953,1.2695820331573486,3.122036584812804e-08,2.8901498394517944e-07
320,16,14,2.3901326656341553,1.3961787223815918,2.9906830678605445e-08,2.6212487214127833e-07
335,14,13,2.2917816638946533,1.4297208786010742,7.007268099101793e-09,3.582495256004847e-08
350,16,14,2.9065685272216797,1.701223611831665,3.1292897273438314e-08,2.851466970321681e-07
365,16,14,3.138411045074463,1.8382601737976074,2.9930825706792064e-08,2.6346380066488706e-07
380,16,14,3.400517702102661,2.0102124214172363,3.142161819624789e-08,2.8816931862962747e-07
395,14,13,3.246915817260742,2.027540445327759,8.30838153831337e-09,2.814522948035858e-08
410,16,14,3.993678092956543,2.3093504905700684,2.9789583355643856e-08,2.6254846341444704e-07
425,14,13,3.7406835556030273,2.302074909210205,8.335665047098928e-09,1.9740581058691475e-08
440,16,14,4.574552774429321,2.658996105194092,3.127751779796739e-08,2.879313930614913e-07
455,16,14,4.857655048370361,2.861001968383789,3.12622613352076e-08,2.8873134105822373e-07
470,14,13,4.53671932220459,2.8042705059051514,1.1074363204244264e-08,4.1571625697400805e-08
485,14,13,4.806056499481201,2.9970760345458984,1.4132932268928755e-08,3.535588088965369e-08
